Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance,Increment,FutureSalary,P_leave,P_stay,LikelyToStay,ExpectedLoss,LeaveRiskBin
31,0,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3,3,1.08,3143.88,0.062088104396173474,0.9379118956038265,True,195.19754964904186,Very Low
34,0,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,2661,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2,3,1.08,2873.88,0.05957764343705365,0.9404223565629464,True,171.21899792087976,Very Low
28,1,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3,3,1.08,2190.2400000000002,0.9479297491188592,0.05207025088114081,False,2076.1936537100905,Very High
29,0,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8,3,1.08,10778.400000000001,0.04250796500580401,0.957492034994196,True,458.167850018558,Very Low
32,0,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,3298,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5,3,1.08,3561.84,0.10646825206167586,0.8935317479383241,True,379.22287892335953,Very Low
22,0,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0,3,1.08,3169.8,0.11045041204326338,0.8895495879567367,True,350.1057160947363,Very Low
53,0,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,15427,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7,3,1.08,16661.16,0.11049580450151544,0.8895041954984846,True,1840.9882781284691,Very Low
38,0,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,3944,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2,3,1.08,4259.52,0.11048914088271862,0.8895108591172813,True,470.6307053727577,Very Low
24,0,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3,3,1.08,4331.88,0.034455338252312125,0.9655446617476878,True,149.25639066842584,Very Low
36,1,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3,4,1.1,3747.7000000000003,0.6576565601823656,0.3423434398176344,False,2464.6994905954516,High
34,0,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11,3,1.08,12953.52,0.044619313944700485,0.9553806860552995,True,577.9771755689567,Very Low
21,0,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0,3,1.08,1330.5600000000002,0.1905170812689531,0.8094829187310469,True,253.49440765321825,Very Low
34,1,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,2960,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3,3,1.08,3196.8,0.09196106173452691,0.9080389382654731,True,293.98112215293565,Very Low
53,0,2,1282,1,5,3,4,1,32,3,0,58,3,5,3,3,0,19094,10735,4,0,0,11,3,4,80,1,26,3,2,14,13,4,8,3,1.08,20621.52,0.06589057119714985,0.9341094288028502,True,1358.7637317534495,Very Low
32,1,1,1125,1,16,1,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7,4,1.1,4310.900000000001,0.964214815652338,0.03578518434766198,False,4156.633648795664,Very High
42,0,2,691,2,8,4,2,1,35,3,1,48,3,2,7,2,1,6825,21173,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2,3,1.08,7371.000000000001,0.020109406350862287,0.9798905936491377,True,148.22643421220593,Very Low
44,0,2,477,1,7,4,3,1,36,1,0,42,2,3,0,4,1,10248,2094,3,0,0,14,3,4,80,1,24,4,3,22,6,5,17,3,1.08,11067.84,0.11040505414330508,0.889594945856695,True,1221.9454744494376,Very Low
46,0,2,705,2,2,4,2,1,38,2,0,83,3,5,3,1,2,18947,22822,3,0,0,12,3,4,80,0,22,2,2,2,2,2,1,3,1.08,20462.760000000002,0.13564946218600993,0.8643505378139901,True,2775.762388841397,Very Low
33,0,2,924,1,2,3,3,1,39,3,1,78,3,1,2,4,2,2496,6670,4,0,0,11,3,4,80,0,7,3,3,1,1,0,0,3,1.08,2695.6800000000003,0.07646511714492196,0.923534882855078,True,206.12548698522326,Very Low
44,0,2,1459,1,10,4,4,1,40,4,1,41,3,2,0,4,1,6465,19121,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3,3,1.08,6982.200000000001,0.08299467490706236,0.9170053250929376,True,579.4854191360909,Very Low
30,0,2,125,1,9,2,3,1,41,4,1,83,2,1,2,3,2,2206,16117,1,0,0,13,3,1,80,0,10,5,3,10,0,1,8,3,1.08,2382.48,0.18865134686258112,0.8113486531374189,True,449.45806087316225,Very Low
39,1,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,2086,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0,3,1.08,2252.88,0.21625645201786253,0.7837435479821375,True,487.1998356220022,Low
24,1,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0,3,1.08,2476.44,0.4236629633791757,0.5763370366208243,False,1049.175909030726,Medium
43,0,2,1273,1,2,2,3,1,46,4,0,72,4,1,6,3,0,2645,21923,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4,3,1.08,2856.6000000000004,0.01073572081790725,0.9892642791820927,True,30.667660088433852,Very Low
50,1,2,869,2,3,2,2,1,47,1,1,86,2,1,8,3,1,2683,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2,3,1.08,2897.6400000000003,0.650641888062653,0.349358111937347,False,1885.325960525866,High
35,0,2,890,2,2,3,2,1,49,4,0,97,3,1,8,4,1,2014,9687,1,0,0,13,3,1,80,0,2,3,3,2,2,2,2,3,1.08,2175.1200000000003,0.037243813395925716,0.9627561866040742,True,81.00976339374596,Very Low
36,0,2,852,1,5,4,1,1,51,2,0,82,2,1,6,1,1,3419,13072,9,0,1,14,3,4,80,1,6,3,4,1,1,0,0,3,1.08,3692.5200000000004,0.6455270068931523,0.35447299310684766,False,2383.621383493103,High
33,0,1,1141,2,1,3,1,1,52,3,0,42,4,2,7,1,1,5376,3193,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3,3,1.08,5806.08,0.046783462991163684,0.9532165370088364,True,271.62852880373566,Very Low
35,0,2,464,1,4,2,4,1,53,3,1,75,3,1,2,4,0,1951,10910,1,0,0,12,3,3,80,1,1,3,3,1,0,0,0,3,1.08,2107.08,0.0438055889123061,0.9561944110876939,True,92.30188028534192,Very Low
27,0,2,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,2341,19715,1,0,0,13,3,4,80,1,1,6,3,1,0,0,0,3,1.08,2528.28,0.09402200764373105,0.905977992356269,True,237.71396148549235,Very Low
26,1,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1,3,1.08,2476.44,0.8970354452638098,0.10296455473619015,False,2221.4544580691095,Very High
27,0,1,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,8726,2975,1,0,0,15,3,4,80,0,9,0,3,9,8,1,7,3,1.08,9424.08,0.02095805377999791,0.9790419462200021,True,197.51037546700272,Very Low
30,0,1,721,1,1,2,3,1,57,3,0,58,3,2,2,4,2,4011,10781,1,0,0,23,4,4,80,0,12,2,3,12,8,3,7,4,1.1,4412.1,0.010160043088297372,0.9898399569117027,True,44.827126109876836,Very Low
41,1,2,1360,1,12,3,5,1,58,2,0,49,3,5,5,3,1,19545,16280,1,0,0,12,3,4,80,0,23,0,3,22,15,15,8,3,1.08,21108.600000000002,0.5,0.5,False,10554.300000000001,Medium
34,0,0,1065,2,23,4,2,1,60,2,1,72,3,2,7,3,2,4568,10034,0,0,0,20,4,3,80,0,10,2,3,9,5,8,7,4,1.1,5024.8,0.11062713151323443,0.8893728684867656,True,555.8792104277004,Very Low
37,0,2,408,1,19,2,1,1,61,2,1,73,3,1,6,2,1,3022,10227,4,0,0,21,4,1,80,0,8,1,3,1,0,0,0,4,1.1,3324.2000000000003,0.19469257105072485,0.8053074289492752,True,647.1970446868196,Very Low
46,0,1,1211,2,5,4,2,1,62,1,1,98,3,2,7,4,2,5772,20445,4,0,1,21,4,3,80,0,14,4,3,9,6,0,8,4,1.1,6349.200000000001,0.11053675336294508,0.8894632466370549,True,701.819954452011,Very Low
35,0,2,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,0,19,3,4,80,0,1,2,3,1,0,0,1,3,1.08,2450.52,0.03588788655737642,0.9641121134426236,True,87.94398376658205,Very Low
48,1,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,5381,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0,3,1.08,5811.4800000000005,0.6763006595427775,0.3236993404572225,False,3930.307756919661,High
28,1,2,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,3441,11179,1,0,1,13,3,3,80,0,2,3,2,2,2,2,2,3,1.08,3716.28,0.608121610368484,0.391878389631516,False,2259.95017818019,High
44,0,2,1488,2,1,5,2,1,68,2,0,75,3,2,7,1,0,5454,4009,5,0,1,21,4,3,80,1,9,2,2,4,3,1,3,4,1.1,5999.400000000001,0.11058532732489237,0.8894146726751077,True,663.4456127529594,Very Low
35,0,0,1097,1,11,2,3,1,70,3,1,79,2,3,0,1,1,9884,8302,2,0,1,13,3,3,80,1,10,3,3,4,0,2,3,3,1.08,10674.720000000001,0.11053489217705995,0.8894651078229401,True,1179.9290242203056,Very Low
26,0,2,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,4157,21436,7,0,1,19,3,3,80,1,5,2,2,2,2,0,0,3,1.08,4489.56,0.6113112917486655,0.3886887082513345,False,2744.518722983139,High
33,0,1,515,1,1,2,1,1,73,1,0,98,3,3,5,4,2,13458,15146,1,0,1,12,3,3,80,0,15,1,3,15,14,8,12,3,1.08,14534.640000000001,0.11046612260333163,0.8895338773966683,True,1605.5853242352882,Very Low
35,0,1,853,2,18,5,1,1,74,2,1,71,3,3,7,1,1,9069,11031,1,0,0,22,4,4,80,1,9,3,2,9,8,1,8,4,1.1,9975.900000000001,0.06900424472795445,0.9309957552720456,True,688.379444981601,Very Low
35,0,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,4014,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2,3,1.08,4335.12,0.35214465731252387,0.6478553426874761,True,1526.5893468086683,Low
31,0,2,655,1,7,4,1,1,76,4,1,48,3,2,2,4,0,5915,9528,3,0,0,22,4,4,80,1,10,3,2,7,7,1,7,4,1.1,6506.500000000001,0.014150637359387904,0.9858493626406121,True,92.0711219788574,Very Low
37,0,2,1115,1,1,4,1,1,77,1,1,51,2,2,4,3,0,5993,2689,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7,3,1.08,6472.4400000000005,0.0220669384372141,0.9779330615627859,True,142.82693501856204,Very Low
32,0,2,427,1,1,3,3,1,78,1,1,33,3,2,4,4,1,6162,10877,1,0,1,22,4,2,80,1,9,3,3,9,8,7,8,4,1.1,6778.200000000001,0.10440984172958066,0.8955901582704193,True,707.7107892114437,Very Low
38,0,1,653,1,29,5,1,1,79,4,0,50,3,2,2,4,2,2406,5456,1,0,0,11,3,4,80,0,10,2,3,10,3,9,9,3,1.08,2598.48,0.11041882009487725,0.8895811799051228,True,286.9210956401366,Very Low
50,0,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,18740,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8,3,1.08,20239.2,0.11040488304395074,0.8895951169560492,True,2234.5065089031277,Very Low
59,0,2,1435,2,25,3,1,1,81,1,0,99,3,3,7,1,2,7637,2354,7,0,0,11,3,4,80,0,28,3,2,21,16,7,9,3,1.08,8247.960000000001,0.3935581527414784,0.6064418472585216,True,3246.0519014856045,Low
36,0,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,10096,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8,3,1.08,10903.68,0.10266133228503314,0.8973386677149668,True,1119.3863156096702,Very Low
55,0,2,836,1,8,3,3,1,84,4,0,33,3,4,3,3,0,14756,19730,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2,3,1.08,15936.480000000001,0.03831848698377634,0.9616815130162236,True,610.6618014472119,Very Low
36,0,1,1195,1,11,3,1,1,85,2,1,95,2,2,4,2,2,6499,22656,1,0,0,13,3,3,80,0,6,3,3,6,5,0,3,3,1.08,7018.92,0.0706991572597263,0.9293008427402737,True,496.2317288734381,Very Low
45,0,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,9724,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0,3,1.08,10501.92,0.017775938964996726,0.9822240610350033,True,186.68148893527842,Very Low
35,0,1,664,1,1,3,3,1,88,2,1,79,3,1,6,1,1,2194,5868,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2,3,1.08,2369.52,0.11044606623372678,0.8895539337662732,True,261.70416286214027,Very Low
36,1,2,318,1,9,3,3,1,90,4,1,79,2,1,6,3,1,3388,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0,3,1.08,3659.0400000000004,0.7697468633793977,0.23025313662060232,False,2816.5345629797516,High
59,0,1,1225,2,1,1,1,1,91,1,0,57,2,2,7,3,2,5473,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3,3,1.08,5910.84,0.34165765335836656,0.6583423466416334,True,2019.4837237767674,Low
29,0,2,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,2703,4956,0,0,0,23,4,4,80,1,6,3,3,5,4,0,4,4,1.1,2973.3,0.009763955141510463,0.9902360448584895,True,29.03116782225306,Very Low
31,0,2,1082,1,1,4,3,1,95,3,1,87,3,1,6,2,2,2501,18775,1,0,0,17,3,2,80,0,1,4,3,1,1,1,0,3,1.08,2701.0800000000004,0.12490576519937799,0.875094234800622,True,337.38046426473596,Very Low
32,0,2,548,1,1,3,1,1,96,2,1,66,3,2,6,2,1,6220,7346,1,0,0,17,3,2,80,2,10,3,3,10,4,0,9,3,1.08,6717.6,0.00698354140630638,0.9930164585936936,True,46.91263775100374,Very Low
36,0,2,132,1,6,3,1,1,97,2,0,55,4,1,2,4,1,3038,22002,3,0,0,12,3,2,80,0,5,3,3,1,0,0,0,3,1.08,3281.0400000000004,0.06774293860836636,0.9322570613916337,True,222.26729129159438,Very Low
31,0,2,746,1,8,4,1,1,98,3,0,61,3,2,4,4,2,4424,20682,1,0,0,23,4,4,80,0,11,2,3,11,7,1,8,4,1.1,4866.400000000001,0.01210151034796294,0.9878984896520371,True,58.89078995732686,Very Low
35,0,2,776,2,1,4,2,1,100,3,1,32,2,2,7,1,2,4312,23016,0,0,0,14,3,2,80,0,16,2,3,15,13,2,8,3,1.08,4656.96,0.07543167445735083,0.9245683255426491,True,351.2822906809045,Very Low
45,0,2,193,1,6,4,4,1,101,4,1,52,3,3,5,1,1,13245,15067,4,0,1,14,3,2,80,0,17,3,4,0,0,0,0,3,1.08,14304.6,0.10287185582997128,0.8971281441700287,True,1471.5407489054073,Very Low
37,0,2,397,1,7,4,3,1,102,1,1,30,3,3,5,3,2,13664,25258,4,0,0,13,3,1,80,0,16,3,4,5,2,0,2,3,1.08,14757.12,0.07114331159682402,0.9288566884031759,True,1049.8703864317238,Very Low
46,0,2,945,0,5,2,3,1,103,2,1,80,3,2,1,2,0,5021,10425,8,0,1,22,4,4,80,1,16,2,3,4,2,0,2,4,1.1,5523.1,0.11047001772841154,0.8895299822715884,True,610.1369549157898,Very Low
30,0,2,852,1,1,1,1,1,104,4,1,55,2,2,2,4,1,5126,15998,1,0,1,12,3,3,80,2,10,1,2,10,8,3,0,3,1.08,5536.08,0.064680960991134,0.935319039008866,True,358.0789745237971,Very Low
35,0,2,1214,1,1,3,3,1,105,2,1,30,2,1,6,3,2,2859,26278,1,0,0,18,3,1,80,0,6,3,3,6,4,0,4,3,1.08,3087.7200000000003,0.10119162620733041,0.8988083737926695,True,312.4514080728983,Very Low
55,0,2,111,2,1,2,1,1,106,1,1,70,3,3,7,4,1,10239,18092,3,0,0,14,3,4,80,1,24,4,3,1,0,1,0,3,1.08,11058.12,0.0940484565791335,0.9059515434208665,True,1039.9991186668478,Very Low
38,0,0,573,1,6,3,3,1,107,2,0,79,1,2,6,4,0,5329,15717,7,0,1,12,3,4,80,3,17,3,3,13,11,1,9,3,1.08,5755.320000000001,0.110537206714415,0.889462793285585,True,636.176996547607,Very Low
34,0,2,1153,1,1,2,3,1,110,1,1,94,3,2,4,2,1,4325,17736,1,0,0,15,3,3,80,0,5,2,3,5,2,1,3,3,1.08,4671.0,0.025743255332339468,0.9742567446676605,True,120.24674565735765,Very Low
56,0,2,1400,1,7,3,1,1,112,4,1,49,1,3,4,4,2,7260,21698,4,0,0,11,3,1,80,0,37,3,2,6,4,0,2,3,1.08,7840.8,0.11047318308362969,0.8895268169163704,True,866.1981339221237,Very Low
23,0,2,541,2,2,1,5,1,113,3,1,62,3,1,8,1,0,2322,9518,3,0,0,13,3,3,80,1,3,3,3,0,0,0,0,3,1.08,2507.76,0.11050687765131392,0.889493122348686,True,277.12472749885904,Very Low
51,0,2,432,1,9,4,1,1,116,4,1,96,3,1,2,4,1,2075,18725,3,0,0,23,4,2,80,2,10,4,3,4,2,0,3,4,1.1,2282.5,0.03202051786536916,0.9679794821346308,True,73.0868320277051,Very Low
30,0,2,288,1,2,3,1,1,117,3,1,99,2,2,0,4,1,4152,15830,1,0,0,19,3,1,80,3,11,3,3,11,10,10,8,3,1.08,4484.16,0.06814202004176247,0.9318579799582375,True,305.55972059046957,Very Low
46,1,2,669,2,9,2,3,1,118,3,1,64,2,3,7,4,2,9619,13596,1,0,0,16,3,4,80,0,9,3,3,9,8,4,7,3,1.08,10388.52,0.08102205429447026,0.9189779457055297,True,841.6992314791903,Very Low
40,0,1,530,1,1,4,1,1,119,3,1,78,2,4,0,2,1,13503,14115,1,0,0,22,4,4,80,1,22,3,2,22,3,11,11,4,1.1,14853.300000000001,0.06276563468953278,0.9372343653104672,True,932.2768017340372,Very Low
51,0,2,632,2,21,4,2,1,120,3,1,71,3,2,7,4,2,5441,8423,0,0,1,22,4,4,80,0,11,2,1,10,7,1,0,4,1.1,5985.1,0.15897243141582731,0.8410275685841727,True,951.4658992668681,Very Low
30,0,2,1334,2,4,2,3,1,121,3,0,63,2,2,7,2,0,5209,19760,1,0,1,12,3,2,80,3,11,4,2,11,8,2,7,3,1.08,5625.72,0.06988136538850494,0.930118634611495,True,393.13299489342,Very Low
46,0,1,638,1,1,3,3,1,124,3,1,40,2,3,0,1,1,10673,3142,2,0,1,13,3,3,80,1,21,5,2,10,9,9,5,3,1.08,11526.84,0.11041524174225648,0.8895847582577435,True,1272.7388251243117,Very Low
32,0,2,1093,2,6,4,3,1,125,2,1,87,3,2,7,3,2,5010,24301,1,0,0,16,3,1,80,0,12,0,3,11,8,5,7,3,1.08,5410.8,0.1105583500950162,0.8894416499049838,True,598.2091206941137,Very Low
54,0,2,1217,1,2,4,5,1,126,1,0,60,3,3,5,3,1,13549,24001,9,0,0,12,3,1,80,1,16,5,1,4,3,0,3,3,1.08,14632.92,0.10202603032504762,0.8979739696749524,True,1492.9387396639959,Very Low
24,0,2,1353,2,3,2,4,1,128,1,0,33,3,2,7,3,1,4999,17519,0,0,0,21,4,1,80,1,4,2,2,3,2,0,2,4,1.1,5498.900000000001,0.11049089130928684,0.8895091086907132,True,607.5783622206375,Very Low
28,0,0,120,2,4,3,3,1,129,2,1,43,3,2,7,3,1,4221,8863,1,0,0,15,3,2,80,0,5,3,4,5,4,0,4,3,1.08,4558.68,0.07260763672488514,0.9273923632751149,True,330.9949813849994,Very Low
58,0,2,682,2,10,4,3,1,131,4,1,37,3,4,7,3,2,13872,24409,0,0,0,13,3,3,80,0,38,1,2,37,10,1,8,3,1.08,14981.76,0.11041892507285488,0.8895810749271451,True,1654.2698348994943,Very Low
44,0,0,489,1,23,3,3,1,132,2,1,67,3,2,2,2,1,2042,25043,4,0,0,12,3,3,80,1,17,3,4,3,2,1,2,3,1.08,2205.36,0.08249741686229879,0.9175025831377012,True,181.93650325143926,Very Low
37,1,2,807,0,6,4,0,1,133,3,1,63,3,1,1,1,0,2073,23648,4,0,1,22,4,4,80,0,7,3,3,3,2,0,2,4,1.1,2280.3,0.673597497788806,0.32640250221119405,False,1536.0043742078144,High
32,0,2,827,1,1,1,1,1,134,4,1,71,3,1,6,1,2,2956,15178,1,0,0,13,3,4,80,0,1,2,3,1,0,0,0,3,1.08,3192.48,0.05962024199437439,0.9403797580056256,True,190.33643016220037,Very Low
20,1,1,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0,3,1.08,3160.0800000000004,0.8502667939432663,0.14973320605673368,False,2686.9110902042376,Very High
34,0,2,665,1,6,4,4,1,138,1,0,41,3,2,6,3,2,4809,12482,1,0,0,14,3,3,80,0,16,3,3,16,13,2,10,3,1.08,5193.72,0.03501205600352213,0.9649879439964779,True,181.84281550661294,Very Low
37,0,0,1040,1,2,2,1,1,139,3,1,100,2,2,0,4,0,5163,15850,5,0,0,14,3,4,80,1,17,2,4,1,0,0,0,3,1.08,5576.04,0.0528067954302637,0.9471932045697363,True,294.4528035909676,Very Low
59,0,0,1420,0,2,4,0,1,140,3,0,32,2,5,3,4,1,18844,21922,9,0,0,21,4,4,80,1,30,3,3,3,2,2,2,4,1.1,20728.4,0.1105179434925318,0.8894820565074681,True,2290.860139890596,Very Low
50,0,1,1115,1,1,3,1,1,141,1,0,73,3,5,5,2,1,18172,9755,3,0,1,19,3,1,80,0,28,1,2,8,3,0,7,3,1.08,19625.760000000002,0.11056414653302025,0.8894358534669797,True,2169.905404461888,Very Low
25,1,2,240,2,5,3,2,1,142,3,1,46,2,2,7,3,2,5744,26959,1,0,1,11,3,4,80,0,6,1,3,6,4,0,3,3,1.08,6203.52,0.6455234026340386,0.3544765973659614,False,4004.5173387083114,High
25,0,2,1280,1,7,1,3,1,143,4,1,64,2,1,6,4,1,2889,26897,1,0,0,11,3,3,80,2,2,2,3,2,2,2,1,3,1.08,3120.1200000000003,0.06058999157992386,0.9394100084200762,True,189.04804452835205,Very Low
22,0,2,534,1,15,3,3,1,144,2,0,59,3,1,2,4,2,2871,23785,1,0,0,15,3,3,80,0,1,5,3,0,0,0,0,3,1.08,3100.6800000000003,0.14057221709185763,0.8594277829081424,True,435.8694620923812,Very Low
51,0,1,1456,1,1,4,3,1,145,1,0,30,2,3,0,1,2,7484,25796,3,0,0,20,4,3,80,0,23,1,2,13,12,12,8,4,1.1,8232.400000000001,0.11050911418232126,0.8894908858176788,True,909.7552315945417,Very Low
34,1,1,658,1,7,3,1,1,147,1,1,66,1,2,2,3,2,6074,22887,1,0,1,24,4,4,80,0,9,3,3,9,7,0,6,4,1.1,6681.400000000001,0.3646558144383775,0.6353441855616224,True,2436.4113585885757,Low
54,0,0,142,0,26,3,0,1,148,4,0,30,4,4,3,4,2,17328,13871,2,0,1,12,3,3,80,0,23,3,3,5,3,4,4,3,1.08,18714.24,0.11046814507021538,0.8895318549297846,True,2067.3273791988277,Very Low
